ID,type,eoz,px^2
1040305600,(np.float64(,5.62244706,", 256.2496337890625"
1096219900,(np.float64(,5.219953697,", 255.4620361328125"
1103164700,(np.float64(,5.051714537,", 256.2496337890625"
1000307400,(np.float64(,5.294641713,", 256.2496337890625"
1008077600,(np.float64(,5.322145859,", 256.052734375"
1008231400,(np.float64(,5.739520398,", 256.2496337890625"
1009960200,(np.float64(,5.277080712,", 256.2496337890625"
1009982100,(np.float64(,5.531715223,", 256.2496337890625"
1010573400,(np.float64(,5.171714708,", 256.2496337890625"
1011750000,(np.float64(,5.637081227,", 256.2496337890625"
1013319600,(np.float64(,5.350251549,", 256.2496337890625"
1016399600,(np.float64(,4.994577479,", 256.1778259277344"
1016432800,(np.float64(,5.192202542,", 256.2496337890625"
1016466100,(np.float64(,5.203909876,", 256.2496337890625"
1017864800,(np.float64(,5.419324818,", 256.2496337890625"
1019112600,(np.float64(,5.265373378,", 256.2496337890625"
1023265000,(np.float64(,5.625373893,", 256.2496337890625"
1025224600,(np.float64(,5.086686683,", 255.96229553222656"
1036260300,(np.float64(,5.382446717,", 256.2496337890625"
1037262700,(np.float64(,5.534642056,", 256.2496337890625"
1040653100,(np.float64(,5.599032392,", 256.2496337890625"
1045891400,(np.float64(,5.396933946,", 252.64344787597656"
1047567300,(np.float64(,5.514154222,", 256.2496337890625"
1048415700,(np.float64(,5.285861213,", 256.2496337890625"
1057145800,(np.float64(,5.247812378,", 256.2496337890625"
1072840200,(np.float64(,5.277080712,", 256.2496337890625"
1093257000,(np.float64(,5.356299137,", 256.2403564453125"
1094163200,(np.float64(,5.710252063,", 256.2496337890625"
1094246800,(np.float64(,5.402934551,", 256.2496337890625"
1094258600,(np.float64(,5.373666216,", 256.2496337890625"
1094306400,(np.float64(,5.560983557,", 256.2496337890625"
1094363100,(np.float64(,5.443910219,", 256.2496337890625"
1094560100,(np.float64(,5.417568718,", 256.2496337890625"
1094882400,(np.float64(,5.106739005,", 256.2496337890625"
1095121900,(np.float64(,5.55512989,", 256.2496337890625"
1095412200,(np.float64(,5.773178982,", 256.2496337890625"
1095944600,(np.float64(,5.628300726,", 256.2496337890625"
1096411000,(np.float64(,5.525861556,", 256.2496337890625"
1096415100,(np.float64(,5.457758112,", 255.4620361328125"
1097552300,(np.float64(,5.174641542,", 256.2496337890625"
1097852300,(np.float64(,5.042934036,", 256.2496337890625"
1097854200,(np.float64(,5.566837224,", 256.2496337890625"
1098754100,(np.float64(,5.669276395,", 256.2496337890625"
1098851100,(np.float64(,5.203909876,", 256.2496337890625"
1099036600,(np.float64(,5.208738006,", 256.1560974121094"
1099062200,(np.float64(,5.323910048,", 256.2496337890625"
1100109000,(np.float64(,5.672075671,", 255.4620361328125"
1100488000,(np.float64(,5.219627915,", 256.052734375"
1100851400,(np.float64(,4.987324201,", 256.2496337890625"
1101088900,(np.float64(,5.520007889,", 256.2496337890625"
1101180700,(np.float64(,5.125070923,", 256.2403564453125"
1101555400,(np.float64(,5.24637641,", 255.4620361328125"
1102740300,(np.float64(,5.455617553,", 256.2496337890625"
1103005700,(np.float64(,5.110251206,", 256.2496337890625"
1103726100,(np.float64(,5.302157692,", 255.4620361328125"
1104950000,(np.float64(,5.124885373,", 256.2496337890625"
1105530200,(np.float64(,5.795733037,", 255.44654846191406"
1105604600,(np.float64(,5.997081741,", 256.2496337890625"
1105664300,(np.float64(,5.355327791,", 255.44654846191406"
1105783300,(np.float64(,5.247812378,", 256.2496337890625"
1105925300,(np.float64(,5.048787703,", 256.2496337890625"
1108250000,(np.float64(,5.476105387,", 256.2496337890625"
1108827600,(np.float64(,5.484885887,", 256.2496337890625"
1109747200,(np.float64(,5.192202542,", 256.2496337890625"
1110254100,(np.float64(,5.520007889,", 256.2496337890625"
1113019700,(np.float64(,5.312202714,", 256.2496337890625"
1114347100,(np.float64(,5.71610573,", 256.2496337890625"
1116108300,(np.float64(,5.274153879,", 256.2496337890625"
1116572800,(np.float64(,5.487812721,", 256.2496337890625"
1116701100,(np.float64(,5.812691234,", 256.2496337890625"
1117584800,(np.float64(,5.824398568,", 256.2496337890625"
1117800700,(np.float64(,5.30927588,", 256.2496337890625"
1119174100,(np.float64(,5.296397813,", 256.2496337890625"
1120271600,(np.float64(,5.628300726,", 256.2496337890625"
641396800,(np.float64(,5.517081055,", 256.2496337890625"
678237800,(np.float64(,5.209763543,", 256.2496337890625"
860310300,(np.float64(,5.028299869,", 256.2496337890625"
900789400,(np.float64(,5.514154222,", 256.2496337890625"
911872100,(np.float64(,5.411715051,", 256.2496337890625"
912771500,(np.float64(,5.29171488,", 256.2496337890625"
914115800,(np.float64(,5.440983386,", 256.2496337890625"
925168800,(np.float64(,5.37659305,", 256.2496337890625"
976211200,(np.float64(,5.400007717,", 256.2496337890625"
981689100,(np.float64(,5.543422556,", 256.2496337890625"
992324700,(np.float64(,5.247227011,", 256.2496337890625"
992415000,(np.float64(,5.230251377,", 256.2496337890625"
996561100,(np.float64(,5.218544043,", 256.2496337890625"
